time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-25 00:00:00+00:00,,,2.0,2.0
2024-08-26 00:00:00+00:00,160.0,8.0,45.0,20.0
2024-08-27 00:00:00+00:00,8.0,7.0,137.0,14.0
2024-08-28 00:00:00+00:00,24.0,5.0,77.0,18.0
2024-08-29 00:00:00+00:00,7.0,7.0,60.0,11.0
2024-08-30 00:00:00+00:00,4.0,4.0,27.0,9.0
2024-08-31 00:00:00+00:00,5.0,5.0,22.0,6.0
2024-09-01 00:00:00+00:00,2.0,2.0,23.0,8.0
2024-09-02 00:00:00+00:00,29.0,10.0,22.0,13.0
2024-09-03 00:00:00+00:00,9.0,8.0,13.0,9.0
2024-09-04 00:00:00+00:00,11.0,5.0,11.0,4.0
2024-09-05 00:00:00+00:00,2.0,2.0,121.0,11.0
2024-09-06 00:00:00+00:00,6.0,6.0,55.0,12.0
2024-09-07 00:00:00+00:00,,,10.0,4.0
2024-09-08 00:00:00+00:00,1.0,1.0,,
