time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-20 00:00:00+00:00,1.0,1.0,1,1
2024-07-21 00:00:00+00:00,1.0,1.0,135,7
2024-07-22 00:00:00+00:00,2.0,2.0,97,13
2024-07-23 00:00:00+00:00,3.0,3.0,30,15
2024-07-24 00:00:00+00:00,,,53,12
2024-07-25 00:00:00+00:00,23.0,6.0,74,21
2024-07-26 00:00:00+00:00,1.0,1.0,64,11
2024-07-27 00:00:00+00:00,1.0,1.0,6,4
2024-07-28 00:00:00+00:00,,,84,8
2024-07-29 00:00:00+00:00,4.0,2.0,140,19
2024-07-30 00:00:00+00:00,3.0,3.0,157,18
2024-07-31 00:00:00+00:00,3.0,3.0,169,20
2024-08-01 00:00:00+00:00,1.0,1.0,181,17
2024-08-02 00:00:00+00:00,5.0,3.0,65,15
2024-08-03 00:00:00+00:00,,,4,4
