time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-08 00:00:00+00:00,55,35,10,3
2025-02-09 00:00:00+00:00,118,90,7,5
2025-02-10 00:00:00+00:00,296,55,48,9
2025-02-11 00:00:00+00:00,515,120,52,20
2025-02-12 00:00:00+00:00,74,32,46,40
2025-02-13 00:00:00+00:00,107,42,78,13
2025-02-14 00:00:00+00:00,113,47,37,16
2025-02-15 00:00:00+00:00,92,23,10,6
2025-02-16 00:00:00+00:00,82,29,6,4
2025-02-17 00:00:00+00:00,83,58,17,9
2025-02-18 00:00:00+00:00,57,33,46,12
2025-02-19 00:00:00+00:00,142,112,19,7
2025-02-20 00:00:00+00:00,91,44,17,9
2025-02-21 00:00:00+00:00,90,27,41,14
2025-02-22 00:00:00+00:00,7,5,4,2
