time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-02 00:00:00+00:00,85,56,8,2
2025-02-03 00:00:00+00:00,353,91,20,6
2025-02-04 00:00:00+00:00,95,56,42,9
2025-02-05 00:00:00+00:00,76,53,36,12
2025-02-06 00:00:00+00:00,185,119,32,10
2025-02-07 00:00:00+00:00,140,90,13,8
2025-02-08 00:00:00+00:00,58,38,11,4
2025-02-09 00:00:00+00:00,118,90,7,5
2025-02-10 00:00:00+00:00,296,55,48,9
2025-02-11 00:00:00+00:00,515,120,52,20
2025-02-12 00:00:00+00:00,74,32,46,40
2025-02-13 00:00:00+00:00,107,42,78,13
2025-02-14 00:00:00+00:00,113,47,37,16
2025-02-15 00:00:00+00:00,92,23,10,6
2025-02-16 00:00:00+00:00,39,9,4,2
