time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-31 00:00:00+00:00,187,101,551,102
2025-02-01 00:00:00+00:00,205,84,314,81
2025-02-02 00:00:00+00:00,116,70,393,70
2025-02-03 00:00:00+00:00,434,128,774,167
2025-02-04 00:00:00+00:00,256,126,864,184
2025-02-05 00:00:00+00:00,292,140,725,226
2025-02-06 00:00:00+00:00,340,181,753,193
2025-02-07 00:00:00+00:00,322,151,788,197
2025-02-08 00:00:00+00:00,87,58,299,121
2025-02-09 00:00:00+00:00,131,98,201,97
2025-02-10 00:00:00+00:00,380,93,772,201
2025-02-11 00:00:00+00:00,386,142,908,232
2025-02-13 00:00:00+00:00,248,59,358,80
2025-02-14 00:00:00+00:00,38,27,245,80
