time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-02 00:00:00+00:00,95,64,737,130
2024-07-03 00:00:00+00:00,128,71,1371,222
2024-07-04 00:00:00+00:00,92,46,1536,212
2024-07-05 00:00:00+00:00,35,32,993,185
2024-07-06 00:00:00+00:00,27,24,448,89
2024-07-07 00:00:00+00:00,73,61,424,81
2024-07-08 00:00:00+00:00,140,87,1540,224
2024-07-09 00:00:00+00:00,156,51,1331,234
2024-07-10 00:00:00+00:00,128,60,1293,214
2024-07-11 00:00:00+00:00,321,76,1631,236
2024-07-12 00:00:00+00:00,205,81,1087,213
2024-07-13 00:00:00+00:00,55,45,524,101
2024-07-14 00:00:00+00:00,26,23,487,90
2024-07-15 00:00:00+00:00,109,51,1417,234
2024-07-16 00:00:00+00:00,20,20,296,73
