time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-12 00:00:00+00:00,198,64,524,167
2025-03-13 00:00:00+00:00,241,81,801,242
2025-03-14 00:00:00+00:00,303,88,650,246
2025-03-15 00:00:00+00:00,125,38,431,139
2025-03-16 00:00:00+00:00,95,38,608,131
2025-03-17 00:00:00+00:00,601,120,1070,299
2025-03-18 00:00:00+00:00,378,132,1076,276
2025-03-19 00:00:00+00:00,427,124,1281,280
2025-03-20 00:00:00+00:00,292,109,1260,284
2025-03-21 00:00:00+00:00,412,125,1393,270
2025-03-22 00:00:00+00:00,85,39,390,111
2025-03-23 00:00:00+00:00,98,34,370,102
2025-03-24 00:00:00+00:00,179,84,1039,259
2025-03-25 00:00:00+00:00,224,167,992,268
2025-03-26 00:00:00+00:00,41,38,147,62
