time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-30 00:00:00+00:00,73,45,559,149
2024-10-31 00:00:00+00:00,190,66,1061,206
2024-11-01 00:00:00+00:00,28,25,528,160
2024-11-02 00:00:00+00:00,37,33,459,104
2024-11-03 00:00:00+00:00,36,29,285,81
2024-11-04 00:00:00+00:00,28,18,815,193
2024-11-05 00:00:00+00:00,132,43,836,249
2024-11-06 00:00:00+00:00,173,35,866,227
2024-11-07 00:00:00+00:00,76,46,972,237
2024-11-08 00:00:00+00:00,212,47,784,190
2024-11-09 00:00:00+00:00,54,17,289,107
2024-11-10 00:00:00+00:00,38,12,315,111
2024-11-11 00:00:00+00:00,49,18,973,222
2024-11-12 00:00:00+00:00,92,40,712,216
2024-11-13 00:00:00+00:00,15,14,209,56
