time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-21 00:00:00+00:00,21,7,267,55
2024-07-22 00:00:00+00:00,324,56,916,212
2024-07-23 00:00:00+00:00,141,51,1214,250
2024-07-24 00:00:00+00:00,268,68,1239,236
2024-07-25 00:00:00+00:00,226,69,1178,257
2024-07-26 00:00:00+00:00,78,41,955,194
2024-07-27 00:00:00+00:00,60,32,403,74
2024-07-28 00:00:00+00:00,23,16,396,79
2024-07-29 00:00:00+00:00,63,41,1614,247
2024-07-30 00:00:00+00:00,76,44,1776,250
2024-07-31 00:00:00+00:00,66,37,1841,218
2024-08-01 00:00:00+00:00,83,52,1262,211
2024-08-02 00:00:00+00:00,50,33,1229,198
2024-08-03 00:00:00+00:00,12,11,403,80
2024-08-04 00:00:00+00:00,1,1,22,14
