time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-03 00:00:00+00:00,412,124,622,138
2025-02-04 00:00:00+00:00,256,126,864,184
2025-02-05 00:00:00+00:00,292,140,725,226
2025-02-06 00:00:00+00:00,340,181,753,193
2025-02-07 00:00:00+00:00,322,151,788,197
2025-02-08 00:00:00+00:00,87,58,299,121
2025-02-09 00:00:00+00:00,131,98,201,97
2025-02-10 00:00:00+00:00,380,93,772,201
2025-02-11 00:00:00+00:00,436,154,1010,255
2025-02-12 00:00:00+00:00,480,111,977,279
2025-02-13 00:00:00+00:00,512,121,914,243
2025-02-14 00:00:00+00:00,643,152,814,232
2025-02-15 00:00:00+00:00,146,46,349,104
2025-02-16 00:00:00+00:00,93,37,294,93
2025-02-17 00:00:00+00:00,87,21,196,74
