time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-15 00:00:00+00:00,47,34,322,77
2025-06-16 00:00:00+00:00,633,174,751,264
2025-06-17 00:00:00+00:00,766,206,829,233
2025-06-18 00:00:00+00:00,397,166,915,247
2025-06-19 00:00:00+00:00,338,148,823,245
2025-06-20 00:00:00+00:00,301,112,860,214
2025-06-21 00:00:00+00:00,86,68,304,111
2025-06-22 00:00:00+00:00,77,50,335,96
2025-06-23 00:00:00+00:00,438,192,943,245
2025-06-24 00:00:00+00:00,483,177,1016,240
2025-06-25 00:00:00+00:00,359,130,860,245
2025-06-26 00:00:00+00:00,317,174,975,236
2025-06-27 00:00:00+00:00,259,124,879,239
2025-06-28 00:00:00+00:00,57,48,349,99
2025-06-29 00:00:00+00:00,12,10,48,22
