time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-23 00:00:00+00:00,94,84,466,76
2024-06-24 00:00:00+00:00,284,83,1284,187
2024-06-25 00:00:00+00:00,125,68,1162,201
2024-06-26 00:00:00+00:00,135,57,1023,201
2024-06-27 00:00:00+00:00,92,67,1200,204
2024-06-28 00:00:00+00:00,61,45,852,165
2024-06-29 00:00:00+00:00,46,32,398,86
2024-06-30 00:00:00+00:00,30,22,434,77
2024-07-01 00:00:00+00:00,60,39,1271,204
2024-07-02 00:00:00+00:00,131,77,1047,185
2024-07-03 00:00:00+00:00,128,71,1371,222
2024-07-04 00:00:00+00:00,92,46,1536,212
2024-07-05 00:00:00+00:00,35,32,993,185
2024-07-06 00:00:00+00:00,27,24,448,89
2024-07-07 00:00:00+00:00,6,4,26,13
